fid,tweet_text,timestamp,source,symbols,company_names,url,source_ip,protocol,dest_ip,Label,results
43766234,VIDEO: âI was in my office. I was minding my own business...â âDavid Solomon tells $GS interns how he learned he waâ¦ https://t.co/QClAITywXV,Wed Jul 18 21:33:26 +0000 2018,GoldmanSachs,GS,The Goldman Sachs,https://twitter.com/i/web/status/1019696670777503745,149.171.126.7,tcp,59.166.0.9,1,1
43766235,The price of lumber $LB_F is down 22% since hitting its YTD highs. The Macy's $M turnaround is still happening.â¦ https://t.co/XnKsV4De39,Wed Jul 18 22:22:47 +0000 2018,StockTwits,M,Macy's,https://twitter.com/i/web/status/1019709091038547968,149.171.126.2,tcp,59.166.0.9,1,1
43766648,Who says the American Dream is dead? https://t.co/CRgx19x7sA,Wed Jul 18 22:32:01 +0000 2018,TheStreet,AIG,American,https://buff.ly/2L3kmc4,149.171.126.4,udp,59.166.0.2,1,1
43766649,Barry Silbert is extremely optimistic on bitcoin -- but predicts that 99% of new crypto entrants are âgoing to zeroâ¦ https://t.co/mGMVo2cZgY,Wed Jul 18 22:52:52 +0000 2018,MarketWatch,BTC,Bitcoin,https://twitter.com/i/web/status/1019716662587740160,149.171.126.2,tcp,59.166.0.2,1,1
43766853,How satellites avoid attacks and space junk while circling the Earth https://t.co/aHzIV3Lqp5 #paid @Oracle https://t.co/kacpqZWiDJ,Wed Jul 18 23:00:01 +0000 2018,Forbes,ORCL,Oracle,http://on.forbes.com/6013DqDDU,149.171.126.4,udp,59.166.0.8,1,1
43766865,.@RealMoney's David Butler's favorite FANG stock isn't #RealMoneySOD Alphabet but Facebook https://t.co/MczAPSFjOi,Wed Jul 18 23:04:00 +0000 2018,jimcramer,FB-GOOGL-GOOG,Facebook*Alphabet*Alphabet,http://bit.ly/2NrYxje,149.171.126.8,tcp,59.166.0.0,1,1
43801454,Donât miss my convo with one of my favorite thinkers @SamHarrisOrg! https://t.co/uuPVxIobCh,Wed Jul 18 23:06:58 +0000 2018,ianbremmer,HRS,Harris,https://twitter.com/samharrisorg/status/1019719376348434433,149.171.126.12,tcp,175.45.176.0,1,1
43801812,U.S. intelligence documents on Nelson Mandela made public https://t.co/XTnEfo1rO6 https://t.co/V8DXkWDQ6R,Wed Jul 18 23:08:45 +0000 2018,Reuters,INTC-USB,Intel*U.S.,https://reut.rs/2O0ypNf,149.171.126.11,sctp,175.45.176.1,1,1
43801939,Senate wants emergency alerts to go out through Netflix Spotify etc. https://t.co/23yy3whBlc by @grg,Wed Jul 18 23:09:00 +0000 2018,TechCrunch,NFLX,Netflix,https://tcrn.ch/2L8DsgT,149.171.126.11,sctp,175.45.176.1,1,1
43801940,Hedge fund manager Marc Larsy says bitcoin $40K is possible https://t.co/54uPe0OWqT,Wed Jul 18 23:10:41 +0000 2018,MarketWatch,BTC,Bitcoin,https://on.mktw.net/2Ntr7k9,149.171.126.11,sctp,175.45.176.1,1,1
43802910,U.S. proposes expedited appeal in fight with AT&amp;T over Time Warner purchase https://t.co/BtjhzdE3Nu https://t.co/Gh32ZJ4vPO,Wed Jul 18 23:18:36 +0000 2018,Reuters,TWX,Time Warner,https://reut.rs/2O1Ao46,149.171.126.11,sctp,175.45.176.1,1,1
43804173,Roger Federer's Uniqlo deal makes him one of the few athletes to earn more than $70M from endorsementsâ¦ https://t.co/jQ8sOAyeBQ,Wed Jul 18 23:21:00 +0000 2018,Forbes,ENDP,Endo,https://twitter.com/i/web/status/1019723744804245504,149.171.126.11,sctp,175.45.176.1,1,1
43804174,Bond traders are ahead of Jerome Powell when it comes to inflation expectations https://t.co/DkdZLcy3mT viaâ¦ https://t.co/UCX7EiHP4r,Wed Jul 18 23:21:27 +0000 2018,business,HPQ,HP,https://bloom.bg/2zSKhOu,149.171.126.11,sctp,175.45.176.1,1,1
43806068,Alcoa cuts adjusted EBITDA forecast citing tariffs shares slide https://t.co/mdMJXjnYIs https://t.co/5O8fvwlHpY,Wed Jul 18 23:24:09 +0000 2018,Reuters,HPQ,HP,https://reut.rs/2NZoM1r,149.171.126.11,sctp,175.45.176.1,1,1
43839371,Customers urge boycott of MGM Resorts after the casino files lawsuits against mass shooting victimsâ¦ https://t.co/dAhk87dPmA,Wed Jul 18 23:26:33 +0000 2018,business,MGM,MGM Resorts,https://twitter.com/i/web/status/1019725139905216512,149.171.126.6,tcp,59.166.0.6,1,1
43839372,The gap tightens in the race to a trillion dollar valuation as Amazon hits $900 billion https://t.co/zjzm25Aglq viaâ¦ https://t.co/difuFt6sGp,Wed Jul 18 23:30:00 +0000 2018,Reuters,AMZN-GPS,Amazon*The Gap,https://reut.rs/2L7awGb,149.171.126.0,udp,59.166.0.1,1,1
43840271,President Trump endorses Brian Kemp over Casey Cagle in Georgia governorâs race https://t.co/VhgN5rNRAW,Wed Jul 18 23:32:06 +0000 2018,nytimes,ENDP,Endo,https://nyti.ms/2NsnHy3,149.171.126.4,udp,59.166.0.1,1,1
43840272,White House struggles to contain fallout from Trump-Putin summit https://t.co/NtzACHJibs https://t.co/fLshAUDRzs,Wed Jul 18 23:45:49 +0000 2018,Reuters,UDR,UDR,https://reut.rs/2NrEv8t,149.171.126.1,tcp,59.166.0.3,1,1
43892867,Lakers guard Hart named summer league MVP and more U.S. sports headlines https://t.co/RVryAQdPqd https://t.co/r5x71iFFSL,Thu Jul 19 00:00:00 +0000 2018,Reuters,ticker, name,https://reut.rs/2L09coy,149.171.126.5,tcp,59.166.0.6,1,1
43893537,Only two northern white rhinos still exist making it the world's most endangered subspecies of mammal https://t.co/WeJufervx6,Thu Jul 19 00:01:08 +0000 2018,TheEconomist,NTRS,Northern,https://econ.st/2L6bjHz,149.171.126.8,tcp,59.166.0.0,1,1
